"year","name","number","rank","notes"
1999,"Joshua",649,1,
1999,"Liam",456,2,
1999,"Samuel",445,3,
1999,"Matthew",440,4,
1999,"Jack",430,5,
1999,"Benjamin",416,6,
1999,"Daniel",389,7,
1999,"James",372,8,
1999,"Thomas",357,9,
1999,"Jacob",325,10,
1999,"Connor",303,11,
1999,"Caleb",274,12,
1999,"Jordan",267,13,
1999,"Dylan",255,14,
1999,"Cameron",251,15,
1999,"Michael",250,16,
1999,"William",250,16,
1999,"Ethan",228,18,
1999,"Ryan",225,19,
1999,"Luke",201,20,
1999,"Joseph",194,21,
1999,"Nathan",194,21,
1999,"Nicholas",190,23,
1999,"Jayden",186,24,
1999,"Alexander",179,25,
1999,"Logan",167,26,
1999,"Hamish",160,27,
1999,"Tyler",156,28,
1999,"Callum",154,29,
1999,"Bailey",153,30,
1999,"Sean",152,31,
1999,"Mitchell",149,32,
1999,"Bradley",147,33,
1999,"Oliver",145,34,
1999,"Christopher",133,35,
1999,"Andrew",131,36,
1999,"David",129,37,
1999,"Jesse",129,37,
1999,"Isaac",127,39,
1999,"John",127,39,
1999,"George",123,41,
1999,"Harrison",116,42,
1999,"Jackson",116,42,
1999,"Hayden",108,44,
1999,"Max",104,45,
1999,"Lachlan",101,46,
1999,"Adam",100,47,
1999,"Alex",98,48,
1999,"Jonathan",96,49,
1999,"Robert",95,50,
1999,"Timothy",95,50,
1999,"Zachary",95,50,
1999,"Ben",94,53,
1999,"Jake",94,53,
1999,"Aaron",93,55,
1999,"Jamie",92,56,
1999,"Christian",91,57,
1999,"Henry",91,57,
1999,"Taylor",91,57,
1999,"Anthony",90,60,
1999,"Kyle",90,60,
1999,"Angus",87,62,
1999,"Blake",86,63,
1999,"Joel",86,63,
1999,"Cody",85,65,
1999,"Harry",85,65,
1999,"Jared",85,65,
1999,"Finn",83,68,
1999,"Patrick",79,69,
1999,"Levi",78,70,
1999,"Reuben",78,70,
1999,"Scott",72,72,
1999,"Brandon",71,73,
1999,"Peter",71,73,
1999,"Taine",71,73,
1999,"Jarrod",70,76,
1999,"Sam",69,77,
1999,"Campbell",68,78,
1999,"Aidan",67,79,
1999,"Xavier",67,79,
1999,"Richard",64,81,
1999,"Kaleb",63,82,
1999,"Louis",60,83,
1999,"Flynn",58,84,
1999,"Hunter",58,84,
1999,"Jeremy",57,86,
1999,"Trent",57,86,
1999,"Jason",56,88,
1999,"Justin",56,88,
1999,"Lewis",56,88,
1999,"Regan",56,88,
1999,"Shaun",55,92,
1999,"Troy",55,92,
1999,"Kevin",53,94,
1999,"Kieran",52,95,
1999,"Mathew",52,95,
