"year","name","number","rank","notes"
1999,"Jessica",375,1,
1999,"Georgia",354,2,
1999,"Emma",349,3,
1999,"Olivia",343,4,
1999,"Hannah",332,5,
1999,"Grace",285,6,
1999,"Sarah",282,7,
1999,"Sophie",256,8,
1999,"Samantha",244,9,
1999,"Emily",235,10,
1999,"Caitlin",225,11,
1999,"Ella",184,12,
1999,"Tayla",175,13,
1999,"Brooke",163,14,
1999,"Rebecca",162,15,
1999,"Shania",159,16,
1999,"Courtney",158,17,
1999,"Kate",158,17,
1999,"Madison",152,19,
1999,"Charlotte",150,20,
1999,"Lucy",138,21,
1999,"Paige",134,22,
1999,"Jade",133,23,
1999,"Chloe",132,24,
1999,"Anna",131,25,
1999,"Amy",129,26,
1999,"Laura",129,26,
1999,"Isabella",126,28,
1999,"Danielle",125,29,
1999,"Nicole",125,29,
1999,"Ruby",122,31,
1999,"Holly",121,32,
1999,"Victoria",119,33,
1999,"Jasmine",116,34,
1999,"Ashleigh",113,35,
1999,"Paris",106,36,
1999,"Lauren",102,37,
1999,"Brittany",100,38,
1999,"Megan",98,39,
1999,"Taylor",98,39,
1999,"Alexandra",95,41,
1999,"Rachel",95,41,
1999,"Mikayla",94,43,
1999,"Hayley",92,44,
1999,"Kayla",91,45,
1999,"Elizabeth",90,46,
1999,"Nikita",89,47,
1999,"Claudia",88,48,
1999,"Amber",87,49,
1999,"Katie",86,50,
1999,"Chelsea",85,51,
1999,"Natasha",85,51,
1999,"Zoe",85,51,
1999,"Maddison",84,54,
1999,"Aimee",82,55,
1999,"Abigail",80,56,
1999,"Brianna",80,56,
1999,"Rose",80,56,
1999,"Alice",79,59,
1999,"Eden",77,60,
1999,"Amelia",76,61,
1999,"Monique",75,62,
1999,"Lily",74,63,
1999,"Ashley",72,64,
1999,"Phoebe",71,65,
1999,"Michaela",68,66,
1999,"Shannon",68,66,
1999,"Cheyenne",67,68,
1999,"Alyssa",66,69,
1999,"Stephanie",66,69,
1999,"Melissa",65,71,
1999,"Jamie",64,72,
1999,"Sophia",64,72,
1999,"Maia",61,74,
1999,"Molly",61,74,
1999,"Casey",58,76,
1999,"Maria",58,76,
1999,"Rebekah",58,76,
1999,"Jessie",57,79,
1999,"Gabrielle",55,80,
1999,"Michelle",55,80,
1999,"Morgan",53,82,
1999,"Angel",52,83,
1999,"Tegan",52,83,
1999,"Tiana",52,83,
1999,"Caitlyn",51,86,
1999,"Renee",51,86,
1999,"Julia",50,88,
1999,"Madeleine",50,88,
1999,"Summer",50,88,
1999,"Kaitlyn",48,91,
1999,"Kelsey",48,91,
1999,"Tessa",48,91,
1999,"Alicia",47,94,
1999,"Jennifer",47,94,
1999,"Katelyn",47,94,
1999,"Crystal",46,97,
1999,"Tamara",46,97,
1999,"Tara",46,97,
1999,"Zara",46,97,
2000,"Jessica",381,1,
2000,"Olivia",377,2,
2000,"Hannah",357,3,
2000,"Georgia",351,4,
2000,"Grace",297,5,
2000,"Sophie",287,6,
2000,"Emma",276,7,
2000,"Emily",260,8,
2000,"Sarah",247,9,
2000,"Samantha",216,10,
2000,"Caitlin",204,11,
2000,"Ella",164,12,
2000,"Amy",162,13,
2000,"Kate",161,14,
2000,"Charlotte",149,15,
2000,"Rebecca",149,15,
2000,"Courtney",147,17,
2000,"Holly",144,18,
2000,"Madison",144,18,
2000,"Paige",140,20,
2000,"Brooke",138,21,
2000,"Jade",134,22,
2000,"Lucy",134,22,
2000,"Anna",126,24,
2000,"Laura",126,24,
2000,"Isabella",122,26,
2000,"Danielle",121,27,
2000,"Zoe",119,28,
2000,"Jasmine",117,29,
2000,"Chloe",116,30,
2000,"Ruby",115,31,
2000,"Tayla",110,32,
2000,"Ashleigh",108,33,
2000,"Lauren",104,34,
2000,"Lily",98,35,
2000,"Alexandra",93,36,
2000,"Kayla",91,37,
2000,"Amber",89,38,
2000,"Nicole",89,38,
2000,"Shania",88,40,
2000,"Katie",86,41,
2000,"Amelia",85,42,
2000,"Rachel",85,42,
2000,"Elizabeth",84,44,
2000,"Mikayla",84,44,
2000,"Taylor",83,46,
2000,"Victoria",83,46,
2000,"Brittany",82,48,
2000,"Molly",82,48,
2000,"Hayley",80,50,
2000,"Maddison",80,50,
2000,"Megan",80,50,
2000,"Brianna",79,53,
2000,"Natasha",77,54,
2000,"Chelsea",74,55,
2000,"Nikita",73,56,
2000,"Rose",73,56,
2000,"Aimee",72,58,
2000,"Paris",72,58,
2000,"Angel",70,60,
2000,"Ashley",70,60,
2000,"Shannon",70,60,
2000,"Claudia",68,63,
2000,"Sophia",67,64,
2000,"Eden",66,65,
2000,"Britney",64,66,
2000,"Gabrielle",64,66,
2000,"Abigail",61,68,
2000,"Leah",60,69,
2000,"Monique",60,69,
2000,"Phoebe",60,69,
2000,"Summer",59,72,
2000,"Maria",57,73,
2000,"Renee",57,73,
2000,"Alyssa",56,75,
2000,"Destiny",56,75,
2000,"Tessa",56,75,
2000,"Michaela",55,78,
2000,"Stephanie",55,78,
2000,"Jenna",54,80,
